             z_1            v_z1             z_2            v_z2
 -1.72551201e+03  2.42062908e+02  9.08195518e+02 -2.56808791e+02
 -1.80748277e+03  1.16999616e+02  8.78470212e+02 -2.48566314e+02
 -1.88075289e+03 -7.67448825e+00  8.44516234e+02 -2.23600391e+02
 -1.94496968e+03 -1.25385009e+02  8.06497030e+02 -1.83246434e+02
 -1.99982401e+03 -2.29926051e+02  7.64595611e+02 -1.29652942e+02
 -2.04505185e+03 -3.15787980e+02  7.19013676e+02 -6.56680280e+01
 -2.08043546e+03 -3.78448398e+02  6.69970644e+02  5.31100155e+00
 -2.10580454e+03 -4.14610992e+02  6.17702590e+02  7.95170780e+01
 -2.12103695e+03 -4.22379614e+02  5.62461116e+02  1.53012324e+02
 -2.12605938e+03 -4.01358422e+02  5.04512137e+02  2.21896032e+02
 -2.12084765e+03 -3.52672785e+02  4.44134600e+02  2.82510673e+02
 -2.10542685e+03 -2.78909835e+02  3.81619144e+02  3.31635071e+02
 -2.07987121e+03 -1.83981835e+02  3.17266697e+02  3.66654526e+02
 -2.04430374e+03 -7.29195465e+01  2.51387031e+02  3.85698903e+02
 -1.99889566e+03  4.83934653e+01  1.84297270e+02  3.87741406e+02
 -1.94386554e+03  1.73531568e+02  1.16320362e+02  3.72652806e+02
 -1.87947828e+03  2.95866428e+02  4.77835248e+01  3.41208264e+02
 -1.80604383e+03  4.08917080e+02 -2.09833263e+01  2.95046398e+02
 -1.72391566e+03  5.06692214e+02 -8.96491703e+01  2.36582738e+02
 -1.63348913e+03  5.84006595e+02 -1.57883472e+02  1.68882152e+02
 -1.53519951e+03  6.36754925e+02 -2.25357774e+02  9.54969861e+01
 -1.42951994e+03  6.62128651e+02 -2.91747277e+02  2.02794472e+01
 -1.31695912e+03  6.58764296e+02 -3.56732403e+02 -5.28218415e+01
 -1.19805889e+03  6.26815476e+02 -4.20000335e+02 -1.19970380e+02
 -1.07339159e+03  5.67944776e+02 -4.81246521e+02 -1.77644410e+02
 -9.43557337e+02  4.85235951e+02 -5.40176143e+02 -2.22822906e+02
 -8.09181102e+02  3.83031057e+02 -5.96505532e+02 -2.53145127e+02
 -6.70909732e+02  2.66701130e+02 -6.49963536e+02 -2.67035288e+02
 -5.29408821e+02  1.42362527e+02 -7.00292827e+02 -2.63785784e+02
 -3.85359508e+02  1.65538933e+01 -7.47251136e+02 -2.43594549e+02
 -2.39455199e+02 -1.04109160e+02 -7.90612420e+02 -2.07554606e+02
 -9.23982312e+01 -2.13283451e+02 -8.30167952e+02 -1.57596330e+02
  5.51035118e+01 -3.05233231e+02 -8.65727326e+02 -9.63854931e+01
  2.02340004e+02 -3.75133105e+02 -8.97119368e+02 -2.71824748e+01
  3.48602497e+02 -4.19322875e+02 -9.24192969e+02  4.63299395e+01
  4.93186930e+02 -4.35500842e+02 -9.46817805e+02  1.20241062e+02
  6.35397322e+02 -4.22845361e+02 -9.64884968e+02  1.90618845e+02
  7.74549116e+02 -3.82058229e+02 -9.78307487e+02  2.53717550e+02
  9.09972483e+02 -3.15327613e+02 -9.87020751e+02  3.06175576e+02
  1.04101554e+03 -2.26212479e+02 -9.90982818e+02  3.45193003e+02
  1.16704748e+03 -1.19454623e+02 -9.90174615e+02  3.68679467e+02
  1.28746163e+03 -7.28230758e-01 -9.84600032e+02  3.75364560e+02
  1.40167837e+03  1.23659800e+02 -9.74285905e+02  3.64864929e+02
  1.50914787e+03  2.47102959e+02 -9.59281881e+02  3.37704525e+02
  1.60935283e+03  3.63044041e+02 -9.39660186e+02  2.95286929e+02
  1.70181089e+03  4.65321460e+02 -9.15515272e+02  2.39821228e+02
  1.78607698e+03  5.48494671e+02 -8.86963364e+02  1.74205344e+02
  1.86174547e+03  6.08131507e+02 -8.54141902e+02  1.01872989e+02
  1.92845213e+03  6.41042260e+02 -8.17208879e+02  2.66123175e+01
  1.98587584e+03  6.45448146e+02 -7.76342077e+02 -4.76341352e+01
  2.03374020e+03  6.21075247e+02 -7.31738217e+02 -1.16977672e+02
  2.07181478e+03  5.69168983e+02 -6.83612006e+02 -1.77788806e+02
  2.09991632e+03  4.92428334e+02 -6.32195109e+02 -2.26888942e+02
  2.11790955e+03  3.94863303e+02 -5.77735030e+02 -2.61718249e+02
  2.12570785e+03  2.81583131e+02 -5.20493922e+02 -2.80470846e+02
