             x_1             y_1             x_2             y_2
 -3.04423484e+02 -9.33219553e+02 -3.56394478e+02 -6.73759511e+02
 -3.01484208e+02 -9.36347459e+02 -3.59603360e+02 -6.75224453e+02
 -2.98628621e+02 -9.39567680e+02 -3.62855435e+02 -6.76627868e+02
 -2.95858852e+02 -9.42878251e+02 -3.66149288e+02 -6.77968764e+02
 -2.93176987e+02 -9.46277162e+02 -3.69483481e+02 -6.79246187e+02
 -2.90585064e+02 -9.49762353e+02 -3.72856555e+02 -6.80459212e+02
 -2.88085071e+02 -9.53331718e+02 -3.76267029e+02 -6.81606951e+02
 -2.85678951e+02 -9.56983107e+02 -3.79713404e+02 -6.82688549e+02
 -2.83368593e+02 -9.60714323e+02 -3.83194160e+02 -6.83703186e+02
 -2.81155837e+02 -9.64523129e+02 -3.86707759e+02 -6.84650077e+02
 -2.79042471e+02 -9.68407245e+02 -3.90252646e+02 -6.85528471e+02
 -2.77030230e+02 -9.72364350e+02 -3.93827247e+02 -6.86337658e+02
 -2.75120793e+02 -9.76392084e+02 -3.97429975e+02 -6.87076958e+02
 -2.73315787e+02 -9.80488050e+02 -4.01059225e+02 -6.87745733e+02
 -2.71616782e+02 -9.84649812e+02 -4.04713379e+02 -6.88343378e+02
 -2.70025292e+02 -9.88874900e+02 -4.08390806e+02 -6.88869329e+02
 -2.68542773e+02 -9.93160809e+02 -4.12089862e+02 -6.89323058e+02
 -2.67170624e+02 -9.97505002e+02 -4.15808891e+02 -6.89704074e+02
 -2.65910183e+02 -1.00190491e+03 -4.19546226e+02 -6.90011926e+02
 -2.64762731e+02 -1.00635793e+03 -4.23300190e+02 -6.90246201e+02
 -2.63729487e+02 -1.01086144e+03 -4.27069098e+02 -6.90406524e+02
 -2.62811610e+02 -1.01541278e+03 -4.30851256e+02 -6.90492560e+02
 -2.62010198e+02 -1.02000927e+03 -4.34644961e+02 -6.90504011e+02
 -2.61326286e+02 -1.02464821e+03 -4.38448508e+02 -6.90440622e+02
 -2.60760847e+02 -1.02932686e+03 -4.42260181e+02 -6.90302174e+02
 -2.60314789e+02 -1.03404247e+03 -4.46078265e+02 -6.90088488e+02
 -2.59988960e+02 -1.03879227e+03 -4.49901037e+02 -6.89799427e+02
 -2.59784141e+02 -1.04357348e+03 -4.53726773e+02 -6.89434890e+02
 -2.59701049e+02 -1.04838328e+03 -4.57553747e+02 -6.88994818e+02
